,number_project,average_montly_hours,time_spend_company,left,salary,high,low,medium
0,2,157,3,1,low,0,1,0
1,5,262,6,1,medium,0,0,1
2,7,272,4,1,medium,0,0,1
3,5,223,5,1,low,0,1,0
4,2,159,3,1,low,0,1,0
5,2,153,3,1,low,0,1,0
6,6,247,4,1,low,0,1,0
7,5,259,5,1,low,0,1,0
8,5,224,5,1,low,0,1,0
9,2,142,3,1,low,0,1,0
10,2,135,3,1,low,0,1,0
11,6,305,4,1,low,0,1,0
12,4,234,5,1,low,0,1,0
13,2,148,3,1,low,0,1,0
14,2,137,3,1,low,0,1,0
15,2,143,3,1,low,0,1,0
16,2,160,3,1,low,0,1,0
17,4,255,6,1,low,0,1,0
18,2,160,3,1,low,0,1,0
19,5,262,5,1,low,0,1,0
20,6,282,4,1,low,0,1,0
21,2,147,3,1,low,0,1,0
22,6,304,4,1,low,0,1,0
23,2,139,3,1,low,0,1,0
24,2,158,3,1,low,0,1,0
25,5,242,5,1,low,0,1,0
26,4,239,5,1,low,0,1,0
27,2,135,3,1,low,0,1,0
28,2,128,3,1,low,0,1,0
29,2,132,3,1,low,0,1,0
30,6,294,4,1,low,0,1,0
31,2,134,3,1,low,0,1,0
32,2,145,3,1,low,0,1,0
33,2,140,3,1,low,0,1,0
34,4,246,6,1,low,0,1,0
35,6,255,4,1,low,0,1,0
36,2,137,3,1,low,0,1,0
37,2,126,3,1,low,0,1,0
38,6,306,4,1,low,0,1,0
39,2,152,3,1,low,0,1,0
40,5,269,5,1,low,0,1,0
41,2,158,3,1,low,0,1,0
42,2,127,3,1,low,0,1,0
43,7,281,4,1,low,0,1,0
44,6,276,4,1,low,0,1,0
45,3,182,4,1,low,0,1,0
46,2,147,3,1,low,0,1,0
47,3,273,6,1,low,0,1,0
48,2,148,3,1,low,0,1,0
49,2,147,3,1,low,0,1,0
50,6,152,2,1,low,0,1,0
51,2,135,3,1,low,0,1,0
52,2,134,3,1,low,0,1,0
53,2,132,3,1,low,0,1,0
54,7,307,4,1,low,0,1,0
55,2,140,3,1,low,0,1,0
56,7,255,4,1,low,0,1,0
57,6,309,4,1,low,0,1,0
58,2,128,3,1,low,0,1,0
59,4,225,5,1,low,0,1,0
60,5,226,5,1,medium,0,0,1
61,7,308,4,1,medium,0,0,1
62,6,244,5,1,medium,0,0,1
63,2,132,3,1,medium,0,0,1
64,6,286,4,1,medium,0,0,1
65,6,161,4,1,medium,0,0,1
66,2,153,3,1,medium,0,0,1
67,4,264,6,1,medium,0,0,1
68,5,223,5,1,medium,0,0,1
69,2,135,3,1,medium,0,0,1
70,2,277,3,1,medium,0,0,1
71,5,275,4,1,medium,0,0,1
72,2,149,3,1,high,1,0,0
73,7,295,4,1,low,0,1,0
74,6,277,4,1,medium,0,0,1
75,7,306,4,1,medium,0,0,1
76,6,295,4,1,medium,0,0,1
77,2,137,3,1,medium,0,0,1
78,2,157,3,1,low,0,1,0
79,2,142,3,1,low,0,1,0
80,2,140,3,1,low,0,1,0
81,2,151,3,1,low,0,1,0
82,4,139,3,1,low,0,1,0
83,4,249,6,1,low,0,1,0
84,6,291,4,1,low,0,1,0
85,6,305,4,1,low,0,1,0
86,5,232,3,1,low,0,1,0
87,2,132,3,1,low,0,1,0
88,2,130,3,1,low,0,1,0
89,6,291,4,1,low,0,1,0
90,2,130,3,1,low,0,1,0
91,5,246,5,1,low,0,1,0
92,2,143,3,1,low,0,1,0
93,2,129,3,1,low,0,1,0
94,6,255,4,1,low,0,1,0
95,2,155,3,1,low,0,1,0
96,6,265,4,1,low,0,1,0
97,6,279,4,1,low,0,1,0
98,6,284,4,1,low,0,1,0
99,5,221,6,1,medium,0,0,1
100,2,154,3,1,medium,0,0,1
101,2,147,3,1,medium,0,0,1
102,2,150,3,1,medium,0,0,1
103,7,267,4,1,medium,0,0,1
104,2,158,3,1,medium,0,0,1
105,7,224,5,1,medium,0,0,1
106,4,257,5,1,medium,0,0,1
107,2,148,3,1,medium,0,0,1
108,3,177,4,1,medium,0,0,1
109,2,155,3,1,medium,0,0,1
110,2,144,3,1,medium,0,0,1
111,6,289,4,1,high,1,0,0
112,2,160,3,1,low,0,1,0
113,4,258,5,1,medium,0,0,1
114,5,234,5,1,medium,0,0,1
115,2,137,3,1,medium,0,0,1
116,5,263,2,1,medium,0,0,1
117,6,251,4,1,low,0,1,0
118,2,133,3,1,low,0,1,0
119,2,132,3,1,low,0,1,0
120,4,158,4,1,low,0,1,0
121,2,135,3,1,low,0,1,0
122,4,216,6,1,low,0,1,0
123,6,300,5,1,low,0,1,0
124,2,138,3,1,low,0,1,0
125,6,260,4,1,low,0,1,0
126,2,132,3,1,low,0,1,0
127,3,183,5,1,low,0,1,0
128,6,250,4,1,low,0,1,0
129,2,151,3,1,low,0,1,0
130,6,292,4,1,low,0,1,0
131,2,140,3,1,low,0,1,0
132,5,221,5,1,low,0,1,0
133,2,138,3,1,low,0,1,0
134,2,132,3,1,low,0,1,0
135,7,133,5,1,low,0,1,0
136,6,283,4,1,low,0,1,0
137,2,129,3,1,low,0,1,0
138,4,249,5,1,low,0,1,0
